day,temperature
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0.022916667
36,0
37,0.016666667
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.007291667
52,0.011458333
53,0
54,0
55,0
56,0
57,0.10625
58,0.121875
59,0.214583333
60,0.236458333
61,0.790625
62,0.270833333
63,0.394791667
64,0.190625
65,0.720833333
66,1.678125
67,2.063541667
68,2.659375
69,2.547826087
70,2.520833333
71,2.164583333
72,2.528125
73,2.852083333
74,3.355208333
75,3.914583333
76,4.479166667
77,4.909375
78,5.428125
79,5.865625
80,6.044791667
81,6.379166667
82,6.682291667
83,7.2125
84,8.09375
85,8.003125
86,7.776041667
87,7.652083333
88,7.155208333
89,7.688541667
90,8.332291667
91,8.020833333
92,8.6125
93,9.10625
94,9.502083333
95,9.682291667
96,9.383333333
97,9.248958333
98,9.685416667
99,9.357291667
100,8.371875
101,7.3
102,6.877083333
103,8.029166667
104,8.955208333
105,8.946875
106,9.913541667
107,9.794791667
108,10.05208333
109,11.553125
110,12.24583333
111,11.4
112,10.78229167
113,10.8
114,11.36979167
115,10.26770833
116,9.932291667
117,9.272916667
118,8.565625
119,7.390625
120,7.002083333
121,7.352083333
122,7.816666667
123,8.726041667
124,11.03020833
125,12.56666667
126,13.07708333
127,12.16458333
128,11.41041667
129,10.88125
130,10.92083333
131,11.60729167
132,12.61145833
133,13.14895833
134,12.91770833
135,12.0625
136,11.63854167
137,10.71666667
138,9.691666667
139,10.02083333
140,9.778125
141,10.54166667
142,10.24375
143,9.109375
144,10.10833333
145,11.06770833
146,11.38020833
147,11.446875
148,11.86770833
149,13.12291667
150,13.93229167
151,13.89583333
152,13.95208333
153,14.11770833
154,14.37604167
155,14.52604167
156,14.48125
157,14.32083333
158,13.18333333
159,10.85416667
160,10.49166667
161,12.23020833
162,14.10208333
163,15.60520833
164,16.6
165,16.22291667
166,15.90729167
167,16.11458333
168,16.41354167
169,15.971875
170,15.990625
171,14.41041667
172,12.58541667
173,11.80625
174,13.23645833
175,13.55
176,14.478125
177,14.9625
178,15.42291667
179,14.97604167
180,15.65625
181,16.91458333
182,17.25104167
183,17.78333333
184,17.58958333
185,17.56875
186,17.74791667
187,18.59895833
188,18.3375
189,17.39375
190,16.45
191,17.478125
192,18.56770833
193,20.29791667
194,20.78958333
195,20.478125
196,20.24583333
197,19.62083333
198,19.19791667
199,19.5875
200,19.45833333
201,18.85208333
202,19.02708333
203,19.60729167
204,19.08125
205,19.5125
206,19.76666667
207,19.88229167
208,20.84375
209,20.959375
210,20.73958333
211,20.20833333
212,20.5375
213,21.39166667
214,20.178125
215,19.48020833
216,20.88854167
217,21.33645833
218,20.92708333
219,20.975
220,20.82395833
221,20.675
222,19.74895833
223,18.49791667
224,18.2625
225,19.25208333
226,19.76354167
227,19.93854167
228,19.83125
229,19.77083333
230,19.52708333
231,20.125
232,20.79270833
233,21.38842105
234,21.009375
235,19.61666667
236,20.10520833
237,19.7875
238,18.51041667
239,18.56770833
240,19.090625
241,19.13541667
242,19.25416667
243,19.94895833
244,20.34270833
245,20.065625
246,20.13854167
247,20.21666667
248,19.953125
249,19.77916667
250,18.959375
251,18.39166667
252,16.83958333
253,15.92604167
254,15.39479167
255,15.46875
256,15.834375
257,16.18645833
258,16.690625
259,16.246875
260,15.74270833
261,14.58854167
262,14.121875
263,13.59583333
264,12.95416667
265,13.52708333
266,14.86041667
267,15.50208333
268,15.24375
269,14.103125
270,13.64166667
271,13.08333333
272,10.553125
273,8.609375
274,8.48125
275,9.016666667
276,9.01875
277,8.835416667
278,8.864583333
279,8.745833333
280,8.829166667
281,8.934375
282,8.538541667
283,6.38125
284,5.667708333
285,5.221875
286,5.894791667
287,6.905208333
288,7.351041667
289,7.942708333
290,8.484375
291,8.033333333
292,6.791666667
293,5.986458333
294,6.553125
295,7.125
296,7.35625
297,6.452083333
298,6.217708333
299,6.433333333
300,4.703125
301,3.115625
302,0.555208333
303,-0.009375
304,0.017708333
305,0.007291667
306,0.072916667
307,0.249
308,0.952083333
309,2.163541667
310,2.760416667
311,2.751041667
312,2.469791667
313,2.422916667
314,3.290625
315,3.632291667
316,3.351041667
317,3.705208333
318,3.467708333
319,3.344791667
320,4.152083333
321,4.729166667
322,5.00625
323,4.94375
324,4.378125
325,2.938541667
326,1.483333333
327,0.425
328,0.442708333
329,1.0625
330,0.697916667
331,0.277083333
332,0.026041667
333,-0.004166667
334,0.00625
335,-0.001041667
336,-0.008333333
337,-0.005208333
338,-0.014583333
339,-0.00625
340,-0.00625
341,-0.002083333
342,0.008333333
343,-0.017708333
344,-0.005208333
345,-0.003125
346,0
347,0.044791667
348,0.033333333
349,-0.005208333
350,-0.004166667
351,-0.001041667
352,0
353,-0.001041667
354,-0.009375
355,-0.008333333
356,-0.009375
357,-0.005208333
358,0
359,-0.011458333
360,0
361,-0.007291667
362,-0.00625
363,-0.003125
364,-0.004166667
365,-0.005208333
